google,youtube,youtubeComments
0,0,0
100,100,1.633050185
84,95,1.768508636
94,97,5.157486176
80,84,8.976953191
84,92,8.073197889
79,85,15.2877234
76,74,21.62428523
75,74,31.55007664
67,75,38.02796819
65,73,48.7054911
61,71,45.7686009
61,67,41.05271766
53,63,75
51,60,100
53,54,27.472274
48,49,24.17849482
44,47,20.50559972
40,44,23.97321026
38,41,33.30453618
35,38,32.89249925
34,34,24.84991581
32,32,20.65154257
28,29,40
27,28,30.26552792
26,25,20.76477409
24,24,13.24389441
23,23,12.56450527
24,24,12.83877718
23,23,10.48502932
22,21,9.594903743
19,20,10.04049075
18,19,9.350617217
18,18,4.98994546
17,17,6.82534457
18,18,4.536180617
16,16,4.691349741
16,16,5.819680897
16,15,3.206548976
14,14,6.939414845
14,13,3.630957498
13,13,4.636201795
13,12,4.437417566
15,14,3.55714732
13,12,3.507031887
12,11,3.752366853
13,12,3.737688693
12,11,3.352911203
11,10,3.311812354
11,10,2.867273783
11,11,3.239679681
11,10,3.043411708
10,10,2.491093502
